time,jst,open,high,low,close,volume
2025-09-30 15:00:00+00:00,2025-10-01 00:00:00+09:00,44634.53,44674.53,44562.03,44639.53,2923
2025-09-30 16:00:00+00:00,2025-10-01 01:00:00+09:00,44637.03,44747.03,44632.03,44729.53,1912
2025-09-30 17:00:00+00:00,2025-10-01 02:00:00+09:00,44732.03,44802.03,44699.53,44724.53,1365
2025-09-30 18:00:00+00:00,2025-10-01 03:00:00+09:00,44722.03,44732.03,44647.03,44677.03,1126
2025-09-30 19:00:00+00:00,2025-10-01 04:00:00+09:00,44677.03,44747.03,44659.53,44744.53,1029
2025-09-30 20:00:00+00:00,2025-10-01 05:00:00+09:00,44747.03,44819.53,44734.53,44789.53,1135
2025-09-30 21:00:00+00:00,2025-10-01 06:00:00+09:00,44792.03,44814.53,44747.03,44804.53,660
2025-09-30 23:00:00+00:00,2025-10-01 08:00:00+09:00,44837.79,44885.29,44822.79,44845.29,299
2025-10-01 00:00:00+00:00,2025-10-01 09:00:00+09:00,44855.29,44865.29,44715.29,44780.29,609
2025-10-01 01:00:00+00:00,2025-10-01 10:00:00+09:00,44785.29,44880.29,44457.79,44665.29,3812
2025-10-01 02:00:00+00:00,2025-10-01 11:00:00+09:00,44670.29,44722.79,44395.29,44395.29,2104
2025-10-01 03:00:00+00:00,2025-10-01 12:00:00+09:00,44395.29,44470.29,44360.29,44410.29,1381
2025-10-01 04:00:00+00:00,2025-10-01 13:00:00+09:00,44415.29,44490.29,44357.79,44465.29,1391
2025-10-01 05:00:00+00:00,2025-10-01 14:00:00+09:00,44465.29,44585.29,44465.29,44500.29,1377
2025-10-01 06:00:00+00:00,2025-10-01 15:00:00+09:00,44495.29,44617.79,44457.79,44575.29,1414
2025-10-01 07:00:00+00:00,2025-10-01 16:00:00+09:00,44575.29,44635.29,44337.79,44367.79,1980
2025-10-01 08:00:00+00:00,2025-10-01 17:00:00+09:00,44367.79,44420.29,44312.79,44372.79,1515
2025-10-01 09:00:00+00:00,2025-10-01 18:00:00+09:00,44372.79,44505.29,44310.29,44505.29,1984
2025-10-01 10:00:00+00:00,2025-10-01 19:00:00+09:00,44502.79,44612.79,44492.79,44577.79,1167
2025-10-01 11:00:00+00:00,2025-10-01 20:00:00+09:00,44577.79,44627.79,44535.29,44545.29,900
2025-10-01 12:00:00+00:00,2025-10-01 21:00:00+09:00,44547.79,44672.79,44545.29,44662.79,980
2025-10-01 13:00:00+00:00,2025-10-01 22:00:00+09:00,44660.29,44682.79,44575.29,44637.79,1963
2025-10-01 14:00:00+00:00,2025-10-01 23:00:00+09:00,44637.79,44772.79,44627.79,44712.79,2390
2025-10-01 15:00:00+00:00,2025-10-02 00:00:00+09:00,44712.79,44805.29,44685.29,44692.79,2584
2025-10-01 16:00:00+00:00,2025-10-02 01:00:00+09:00,44690.29,44742.79,44672.79,44687.79,1505
2025-10-01 17:00:00+00:00,2025-10-02 02:00:00+09:00,44687.79,44772.79,44685.29,44707.79,880
2025-10-01 18:00:00+00:00,2025-10-02 03:00:00+09:00,44707.79,44752.79,44697.79,44737.79,725
2025-10-01 19:00:00+00:00,2025-10-02 04:00:00+09:00,44737.79,44807.79,44727.79,44777.79,704
2025-10-01 20:00:00+00:00,2025-10-02 05:00:00+09:00,44777.79,44802.79,44762.79,44765.29,626
2025-10-01 21:00:00+00:00,2025-10-02 06:00:00+09:00,44767.79,44785.29,44732.79,44780.29,418
2025-10-01 23:00:00+00:00,2025-10-02 08:00:00+09:00,44791.04,44791.04,44766.04,44786.04,118
2025-10-02 00:00:00+00:00,2025-10-02 09:00:00+09:00,44788.54,44891.04,44768.54,44891.04,587
2025-10-02 01:00:00+00:00,2025-10-02 10:00:00+09:00,44891.04,45136.04,44711.04,44746.04,3236
2025-10-02 02:00:00+00:00,2025-10-02 11:00:00+09:00,44741.04,44851.04,44663.54,44831.04,1777
2025-10-02 03:00:00+00:00,2025-10-02 12:00:00+09:00,44831.04,44831.04,44676.04,44758.54,967
2025-10-02 04:00:00+00:00,2025-10-02 13:00:00+09:00,44758.54,44911.04,44718.54,44906.04,1212
2025-10-02 05:00:00+00:00,2025-10-02 14:00:00+09:00,44906.04,45026.04,44858.54,45006.04,1075
2025-10-02 06:00:00+00:00,2025-10-02 15:00:00+09:00,45006.04,45101.04,44973.54,45041.04,1062
2025-10-02 07:00:00+00:00,2025-10-02 16:00:00+09:00,45041.04,45046.04,44933.54,44963.54,1447
2025-10-02 08:00:00+00:00,2025-10-02 17:00:00+09:00,44963.54,44998.54,44923.54,44958.54,927
2025-10-02 09:00:00+00:00,2025-10-02 18:00:00+09:00,44958.54,45026.04,44928.54,44963.54,1460
2025-10-02 10:00:00+00:00,2025-10-02 19:00:00+09:00,44963.54,44966.04,44873.54,44921.04,932
2025-10-02 11:00:00+00:00,2025-10-02 20:00:00+09:00,44918.54,45013.54,44913.54,45008.54,727
2025-10-02 12:00:00+00:00,2025-10-02 21:00:00+09:00,45011.04,45093.54,45003.54,45066.04,574
2025-10-02 13:00:00+00:00,2025-10-02 22:00:00+09:00,45063.54,45163.54,45033.54,45131.04,624
2025-10-02 14:00:00+00:00,2025-10-02 23:00:00+09:00,45128.54,45173.54,45061.04,45093.54,1957
2025-10-02 15:00:00+00:00,2025-10-03 00:00:00+09:00,45091.04,45106.04,44896.04,44901.04,2700
2025-10-02 16:00:00+00:00,2025-10-03 01:00:00+09:00,44898.54,45028.54,44883.54,45023.54,2361
2025-10-02 17:00:00+00:00,2025-10-03 02:00:00+09:00,45021.04,45031.04,44976.04,45018.54,1288
2025-10-02 18:00:00+00:00,2025-10-03 03:00:00+09:00,45013.54,45013.54,44961.04,44988.54,922
2025-10-02 19:00:00+00:00,2025-10-03 04:00:00+09:00,44988.54,45068.54,44988.54,45038.54,623
2025-10-02 20:00:00+00:00,2025-10-03 05:00:00+09:00,45038.54,45068.54,45011.04,45036.04,648
2025-10-02 21:00:00+00:00,2025-10-03 06:00:00+09:00,45038.54,45048.54,44983.54,44991.04,377
2025-10-02 23:00:00+00:00,2025-10-03 08:00:00+09:00,45009.3,45021.8,44936.8,44946.8,145
2025-10-03 00:00:00+00:00,2025-10-03 09:00:00+09:00,44946.8,45096.8,44876.8,45096.8,503
2025-10-03 01:00:00+00:00,2025-10-03 10:00:00+09:00,45091.8,45591.8,45066.8,45561.8,2780
2025-10-03 02:00:00+00:00,2025-10-03 11:00:00+09:00,45561.8,45751.8,45521.8,45616.8,2826
2025-10-03 03:00:00+00:00,2025-10-03 12:00:00+09:00,45616.8,45701.8,45554.3,45574.3,1445
2025-10-03 04:00:00+00:00,2025-10-03 13:00:00+09:00,45571.8,45656.8,45566.8,45621.8,1182
2025-10-03 05:00:00+00:00,2025-10-03 14:00:00+09:00,45621.8,45711.8,45591.8,45601.8,1105
2025-10-03 06:00:00+00:00,2025-10-03 15:00:00+09:00,45601.8,45766.8,45601.8,45729.3,1252
2025-10-03 07:00:00+00:00,2025-10-03 16:00:00+09:00,45734.3,45896.8,45706.8,45876.8,1515
2025-10-03 08:00:00+00:00,2025-10-03 17:00:00+09:00,45879.3,45996.8,45869.3,45929.3,916
2025-10-03 09:00:00+00:00,2025-10-03 18:00:00+09:00,45929.3,46014.3,45884.3,45969.3,1432
2025-10-03 10:00:00+00:00,2025-10-03 19:00:00+09:00,45969.3,46104.3,45959.3,46089.3,757
2025-10-03 11:00:00+00:00,2025-10-03 20:00:00+09:00,46089.3,46099.3,46001.8,46004.3,597
2025-10-03 12:00:00+00:00,2025-10-03 21:00:00+09:00,46004.3,46021.8,45914.3,45951.8,981
2025-10-03 13:00:00+00:00,2025-10-03 22:00:00+09:00,45949.3,45954.3,45886.8,45901.8,983
2025-10-03 14:00:00+00:00,2025-10-03 23:00:00+09:00,45899.3,46069.3,45896.8,46006.8,1757
2025-10-03 15:00:00+00:00,2025-10-04 00:00:00+09:00,46006.8,46161.8,45949.3,46104.3,2674
2025-10-03 16:00:00+00:00,2025-10-04 01:00:00+09:00,46104.3,46139.3,46019.3,46124.3,1541
2025-10-03 17:00:00+00:00,2025-10-04 02:00:00+09:00,46121.8,46139.3,46099.3,46104.3,696
2025-10-03 18:00:00+00:00,2025-10-04 03:00:00+09:00,46101.8,46101.8,45846.8,45919.3,3146
2025-10-03 19:00:00+00:00,2025-10-04 04:00:00+09:00,45921.8,46024.3,45861.8,45999.3,2901
2025-10-03 20:00:00+00:00,2025-10-04 05:00:00+09:00,45999.3,46016.8,45946.8,45966.8,1546
2025-10-03 21:00:00+00:00,2025-10-04 06:00:00+09:00,45966.8,46029.3,45951.8,46016.8,482
2025-10-05 23:00:00+00:00,2025-10-06 08:00:00+09:00,47416.59,48231.59,47266.59,48134.09,1489
2025-10-06 00:00:00+00:00,2025-10-06 09:00:00+09:00,48134.09,48536.59,47596.59,47601.59,2977
2025-10-06 01:00:00+00:00,2025-10-06 10:00:00+09:00,47554.09,47786.59,47281.59,47639.09,7515
2025-10-06 02:00:00+00:00,2025-10-06 11:00:00+09:00,47639.09,47904.09,47561.59,47739.09,3145
2025-10-06 03:00:00+00:00,2025-10-06 12:00:00+09:00,47729.09,47939.09,47724.09,47844.09,1350
2025-10-06 04:00:00+00:00,2025-10-06 13:00:00+09:00,47839.09,47986.59,47784.09,47819.09,1877
2025-10-06 05:00:00+00:00,2025-10-06 14:00:00+09:00,47819.09,47956.59,47599.09,47954.09,2784
2025-10-06 06:00:00+00:00,2025-10-06 15:00:00+09:00,47954.09,48164.09,47919.09,48054.09,1606
2025-10-06 07:00:00+00:00,2025-10-06 16:00:00+09:00,48054.09,48164.09,47971.59,48124.09,2199
2025-10-06 08:00:00+00:00,2025-10-06 17:00:00+09:00,48126.59,48189.09,47981.59,48079.09,1636
2025-10-06 09:00:00+00:00,2025-10-06 18:00:00+09:00,48079.09,48291.59,48031.59,48156.59,3233
2025-10-06 10:00:00+00:00,2025-10-06 19:00:00+09:00,48156.59,48321.59,48091.59,48296.59,1597
2025-10-06 11:00:00+00:00,2025-10-06 20:00:00+09:00,48296.59,48311.59,48191.59,48296.59,1354
2025-10-06 12:00:00+00:00,2025-10-06 21:00:00+09:00,48291.59,48466.59,48236.59,48451.59,1832
2025-10-06 13:00:00+00:00,2025-10-06 22:00:00+09:00,48451.59,48471.59,48249.09,48331.59,3084
2025-10-06 14:00:00+00:00,2025-10-06 23:00:00+09:00,48336.59,48501.59,48324.09,48371.59,3144
2025-10-06 15:00:00+00:00,2025-10-07 00:00:00+09:00,48371.59,48561.59,48291.59,48541.59,3116
2025-10-06 16:00:00+00:00,2025-10-07 01:00:00+09:00,48539.09,48661.59,48531.59,48601.59,2004
2025-10-06 17:00:00+00:00,2025-10-07 02:00:00+09:00,48596.59,48646.59,48566.59,48634.09,1249
2025-10-06 18:00:00+00:00,2025-10-07 03:00:00+09:00,48631.59,48666.59,48561.59,48609.09,1054
2025-10-06 19:00:00+00:00,2025-10-07 04:00:00+09:00,48606.59,48634.09,48566.59,48624.09,615
2025-10-06 20:00:00+00:00,2025-10-07 05:00:00+09:00,48624.09,48644.09,48519.09,48521.59,910
2025-10-06 21:00:00+00:00,2025-10-07 06:00:00+09:00,48519.09,48566.59,48471.59,48529.09,557
2025-10-06 23:00:00+00:00,2025-10-07 08:00:00+09:00,48542.35,48619.85,48542.35,48559.85,259
2025-10-07 00:00:00+00:00,2025-10-07 09:00:00+09:00,48562.35,48574.85,48334.85,48359.85,1213
2025-10-07 01:00:00+00:00,2025-10-07 10:00:00+09:00,48359.85,48534.85,48034.85,48264.85,5270
2025-10-07 02:00:00+00:00,2025-10-07 11:00:00+09:00,48264.85,48402.35,48179.85,48244.85,3160
2025-10-07 03:00:00+00:00,2025-10-07 12:00:00+09:00,48244.85,48382.35,48184.85,48369.85,1690
2025-10-07 04:00:00+00:00,2025-10-07 13:00:00+09:00,48372.35,48404.85,48219.85,48314.85,1735
2025-10-07 05:00:00+00:00,2025-10-07 14:00:00+09:00,48319.85,48334.85,48129.85,48249.85,1644
2025-10-07 06:00:00+00:00,2025-10-07 15:00:00+09:00,48249.85,48259.85,47964.85,48009.85,2373
2025-10-07 07:00:00+00:00,2025-10-07 16:00:00+09:00,48004.85,48064.85,47852.35,47934.85,2794
2025-10-07 08:00:00+00:00,2025-10-07 17:00:00+09:00,47934.85,48027.35,47852.35,47977.35,1248
2025-10-07 09:00:00+00:00,2025-10-07 18:00:00+09:00,47977.35,48052.35,47832.35,48022.35,2386
2025-10-07 10:00:00+00:00,2025-10-07 19:00:00+09:00,48022.35,48069.85,48017.35,48064.85,962
2025-10-07 11:00:00+00:00,2025-10-07 20:00:00+09:00,48064.85,48069.85,48017.35,48017.35,696
2025-10-07 12:00:00+00:00,2025-10-07 21:00:00+09:00,48017.35,48057.35,47979.85,48057.35,775
2025-10-07 13:00:00+00:00,2025-10-07 22:00:00+09:00,48054.85,48142.35,48044.85,48132.35,1017
2025-10-07 14:00:00+00:00,2025-10-07 23:00:00+09:00,48127.35,48189.85,48097.35,48164.85,2325
2025-10-07 15:00:00+00:00,2025-10-08 00:00:00+09:00,48162.35,48179.85,48029.85,48082.35,2835
2025-10-07 16:00:00+00:00,2025-10-08 01:00:00+09:00,48079.85,48109.85,47772.35,47842.35,6128
2025-10-07 17:00:00+00:00,2025-10-08 02:00:00+09:00,47842.35,47952.35,47797.35,47892.35,3822
2025-10-07 18:00:00+00:00,2025-10-08 03:00:00+09:00,47892.35,47962.35,47877.35,47887.35,2479
2025-10-07 19:00:00+00:00,2025-10-08 04:00:00+09:00,47889.85,47992.35,47852.35,47982.35,1878
2025-10-07 20:00:00+00:00,2025-10-08 05:00:00+09:00,47979.85,47992.35,47909.85,47962.35,1299
2025-10-07 21:00:00+00:00,2025-10-08 06:00:00+09:00,47962.35,48022.35,47942.35,48004.85,444
2025-10-07 23:00:00+00:00,2025-10-08 08:00:00+09:00,47998.1,47998.1,47878.1,47923.1,156
2025-10-08 00:00:00+00:00,2025-10-08 09:00:00+09:00,47920.6,47970.6,47863.1,47890.6,969
2025-10-08 01:00:00+00:00,2025-10-08 10:00:00+09:00,47905.6,48185.6,47873.1,48070.6,4511
2025-10-08 02:00:00+00:00,2025-10-08 11:00:00+09:00,48070.6,48113.1,47910.6,47928.1,2853
2025-10-08 03:00:00+00:00,2025-10-08 12:00:00+09:00,47925.6,48058.1,47900.6,47975.6,1604
2025-10-08 04:00:00+00:00,2025-10-08 13:00:00+09:00,47975.6,48053.1,47915.6,47970.6,1536
2025-10-08 05:00:00+00:00,2025-10-08 14:00:00+09:00,47973.1,47985.6,47790.6,47815.6,1508
2025-10-08 06:00:00+00:00,2025-10-08 15:00:00+09:00,47815.6,47863.1,47770.6,47845.6,1683
2025-10-08 07:00:00+00:00,2025-10-08 16:00:00+09:00,47845.6,47883.1,47693.1,47763.1,1869
2025-10-08 08:00:00+00:00,2025-10-08 17:00:00+09:00,47765.6,47973.1,47738.1,47958.1,1315
2025-10-08 09:00:00+00:00,2025-10-08 18:00:00+09:00,47958.1,47985.6,47838.1,47923.1,1615
2025-10-08 10:00:00+00:00,2025-10-08 19:00:00+09:00,47925.6,48028.1,47925.6,47965.6,1217
2025-10-08 11:00:00+00:00,2025-10-08 20:00:00+09:00,47963.1,48015.6,47903.1,47985.6,1207
2025-10-08 12:00:00+00:00,2025-10-08 21:00:00+09:00,47973.1,48003.1,47873.1,47915.6,1376
2025-10-08 13:00:00+00:00,2025-10-08 22:00:00+09:00,47913.1,47918.1,47848.1,47878.1,1160
2025-10-08 14:00:00+00:00,2025-10-08 23:00:00+09:00,47878.1,47970.6,47823.1,47950.6,2125
2025-10-08 15:00:00+00:00,2025-10-09 00:00:00+09:00,47960.6,48025.6,47950.6,47978.1,1773
2025-10-08 16:00:00+00:00,2025-10-09 01:00:00+09:00,47978.1,48058.1,47978.1,47998.1,1109
2025-10-08 17:00:00+00:00,2025-10-09 02:00:00+09:00,48000.6,48078.1,47978.1,48028.1,864
2025-10-08 18:00:00+00:00,2025-10-09 03:00:00+09:00,48028.1,48048.1,48010.6,48033.1,726
2025-10-08 19:00:00+00:00,2025-10-09 04:00:00+09:00,48033.1,48063.1,47978.1,47988.1,1110
2025-10-08 20:00:00+00:00,2025-10-09 05:00:00+09:00,47988.1,48093.1,47970.6,48073.1,1005
2025-10-08 21:00:00+00:00,2025-10-09 06:00:00+09:00,48075.6,48175.6,48060.6,48128.1,383
2025-10-08 23:00:00+00:00,2025-10-09 08:00:00+09:00,48163.86,48178.86,48106.36,48153.86,193
2025-10-09 00:00:00+00:00,2025-10-09 09:00:00+09:00,48156.36,48176.36,48051.36,48156.36,811
2025-10-09 01:00:00+00:00,2025-10-09 10:00:00+09:00,48151.36,48421.36,48038.86,48411.36,3950
2025-10-09 02:00:00+00:00,2025-10-09 11:00:00+09:00,48411.36,48481.36,48261.36,48441.36,2971
2025-10-09 03:00:00+00:00,2025-10-09 12:00:00+09:00,48441.36,48461.36,48281.36,48373.86,1411
2025-10-09 04:00:00+00:00,2025-10-09 13:00:00+09:00,48376.36,48441.36,48318.86,48343.86,1498
2025-10-09 05:00:00+00:00,2025-10-09 14:00:00+09:00,48343.86,48471.36,48341.36,48406.36,1264
2025-10-09 06:00:00+00:00,2025-10-09 15:00:00+09:00,48411.36,48546.36,48398.86,48506.36,1474
2025-10-09 07:00:00+00:00,2025-10-09 16:00:00+09:00,48506.36,48781.36,48501.36,48691.36,2051
2025-10-09 08:00:00+00:00,2025-10-09 17:00:00+09:00,48691.36,48781.36,48673.86,48698.86,1197
2025-10-09 09:00:00+00:00,2025-10-09 18:00:00+09:00,48698.86,48713.86,48478.86,48493.86,1991
2025-10-09 10:00:00+00:00,2025-10-09 19:00:00+09:00,48496.36,48638.86,48386.36,48583.86,1621
2025-10-09 11:00:00+00:00,2025-10-09 20:00:00+09:00,48583.86,48631.36,48571.36,48608.86,821
2025-10-09 12:00:00+00:00,2025-10-09 21:00:00+09:00,48608.86,48728.86,48601.36,48713.86,856
2025-10-09 13:00:00+00:00,2025-10-09 22:00:00+09:00,48713.86,48888.86,48708.86,48841.36,1557
2025-10-09 14:00:00+00:00,2025-10-09 23:00:00+09:00,48838.86,48886.36,48693.86,48728.86,3675
2025-10-09 15:00:00+00:00,2025-10-10 00:00:00+09:00,48726.36,48798.86,48633.86,48708.86,3544
2025-10-09 16:00:00+00:00,2025-10-10 01:00:00+09:00,48708.86,48738.86,48561.36,48708.86,2757
2025-10-09 17:00:00+00:00,2025-10-10 02:00:00+09:00,48708.86,48726.36,48521.36,48538.86,2119
2025-10-09 18:00:00+00:00,2025-10-10 03:00:00+09:00,48538.86,48551.36,48423.86,48541.36,3409
2025-10-09 19:00:00+00:00,2025-10-10 04:00:00+09:00,48538.86,48558.86,48453.86,48538.86,2017
2025-10-09 20:00:00+00:00,2025-10-10 05:00:00+09:00,48541.36,48621.36,48528.86,48618.86,1342
2025-10-09 21:00:00+00:00,2025-10-10 06:00:00+09:00,48621.36,48633.86,48481.36,48493.86,480
2025-10-09 23:00:00+00:00,2025-10-10 08:00:00+09:00,48549.62,48574.62,48504.62,48569.62,170
2025-10-10 00:00:00+00:00,2025-10-10 09:00:00+09:00,48572.12,48632.12,48459.62,48614.62,1291
2025-10-10 01:00:00+00:00,2025-10-10 10:00:00+09:00,48612.12,48662.12,48214.62,48372.12,4866
2025-10-10 02:00:00+00:00,2025-10-10 11:00:00+09:00,48372.12,48377.12,48177.12,48242.12,2544
2025-10-10 03:00:00+00:00,2025-10-10 12:00:00+09:00,48234.62,48242.12,48084.62,48124.62,1603
2025-10-10 04:00:00+00:00,2025-10-10 13:00:00+09:00,48127.12,48132.12,48007.12,48087.12,1553
2025-10-10 05:00:00+00:00,2025-10-10 14:00:00+09:00,48092.12,48167.12,47967.12,47987.12,2114
2025-10-10 06:00:00+00:00,2025-10-10 15:00:00+09:00,47987.12,48184.62,47969.62,48172.12,1940
2025-10-10 07:00:00+00:00,2025-10-10 16:00:00+09:00,48169.62,48212.12,47342.12,47467.12,3676
